0,0,0
5.25,-1.2,-0.5186
7.5,-4.3,-1.0136
8.8,-7.4,-1.3806
8.8,-11,-1.777
7.5,-14.3,-2.1738
4.9,-17,-2.612
1.7,-18.1,-2.96
-1.9,-18.1,2.96
-5.1,-16.8,2.57
-7.6,-14.3,2.1738
-9,-11,1.7777
-9,-7.3,1.3694
-7.7,-4.2,1.0007
-5.25,-1.2,0.5186
0,0,0
5.25,-1.2,-0.5186
7.5,-4.3,-1.0136
8.8,-7.4,-1.3806
8.8,-11,-1.777
7.5,-14.3,-2.1738
4.9,-17,-2.612
1.7,-18.1,-2.96
-1.9,-18.1,2.96
-5.1,-16.8,2.57
-7.6,-14.3,2.1738
-9,-11,1.7777
-9,-7.3,1.3694
-7.7,-4.2,1.0007
-5.25,-1.2,0.5186
0,0,0
5.25,1.2,0.5186
7.5,4.3,1.0136
8.8,7.4,1.3806
8.8,11,1.7777
7.5,14.3,2.1738
4.9,17,2.612
1.7,18.1,2.96
-1.9,18.1,-2.96
-5.1,16.8,-2.5701
-7.6,14.3,-2.1738
-9,11,-1.777
-9,7.3,-1.3694
-7.7,4.2,-1
-5.25,1.2,-0.5186
0,0,0
5.25,1.2,0.5186
7.5,4.3,1.0136
8.8,7.4,1.3806
8.8,11,1.7777
7.5,14.3,2.1738
4.9,17,2.612
1.7,18.1,2.96
-1.9,18.1,-2.96
-5.1,16.8,-2.5701
-7.6,14.3,-2.1738
-9,11,-1.777
-9,7.3,-1.3694
-7.7,4.2,-1
-5.25,1.2,-0.5186
0,0,0
12,0,0
